the_geom,cartodb_id,objectid,date_inven,species,dbh,condition,site_type,site_width,wires,site_devel,site_size,notes,address,neighborho,collected_,planted_by,plant_date,scientific,family,genus,common,functional,size,edible,species_de
0101000020E61000003BD1949E28A45EC05FDB6C4FAEC94640,213103,213103,2016-09-22 17:47:40+00,TI,10.3,Fair,cutout,4,None,Improved,Medium,,9401 NE CASCADES PKWY,PDX,staff,,,Tilia spp.,Malvaceae,Tilia,linden,BD,L,no,
0101000020E6100000F2CA3FCD2AA45EC0ACC10F69AFC94640,213104,213104,2016-09-22 17:47:40+00,TI,11.2,Fair,cutout,4,None,Improved,Medium,,9401 NE CASCADES PKWY,PDX,staff,,,Tilia spp.,Malvaceae,Tilia,linden,BD,L,no,
0101000020E6100000A346593039A45EC0BBE91EB9BAC94640,213105,213105,2016-09-22 17:47:40+00,ACRU,6.6,Fair,strip,6.6,None,Improved,Large,,9401 NE CASCADES PKWY,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E6100000D3A7F0B741A45EC012EBDC98B1C94640,213106,213106,2016-09-22 17:47:40+00,ACRU,8.2,Fair,strip,6.6,None,Improved,Large,,9500 NE CASCADES PKWY,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E6100000159B1E3C37A45EC013152405A8C94640,213109,213109,2016-09-22 17:47:40+00,TI,8.6,Fair,cutout,4,None,Improved,Medium,,9500 NE CASCADES PKWY,PDX,staff,,,Tilia spp.,Malvaceae,Tilia,linden,BD,L,no,
0101000020E61000007D1974BDD9A65EC03A705C9DCFC94640,213111,213111,2016-09-22 18:27:28+00,QU,10.5,Fair,strip,4,Other,Improved,Medium,,,PDX,staff,,,Quercus spp.,Fagaceae,Quercus,"oak, deciduous",BD,L,no,
0101000020E610000073576BD261A55EC0C70476F256C94640,213113,213113,2016-09-22 18:27:28+00,FR,3.8,Fair,strip,6,Other,Improved,Large,,7007 WI/ NE CORNFOOT RD,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E6100000904380616AA55EC015110C044DC94640,213114,213114,2016-09-22 18:27:28+00,FR,4.7,Fair,strip,6,Other,Improved,Large,,E/ 7007 NE CORNFOOT RD,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E6100000DB9F00FE41A45EC0AEC1EF35C4C94640,213119,213119,2016-09-22 17:47:40+00,ACRU,8.4,Fair,strip,6.5,None,Improved,Large,,9301 NE CASCADES PKWY,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E6100000D09CCC2445A45EC0FFCA52F2BCC94640,213120,213120,2016-09-22 17:47:40+00,ACRU,8.6,Fair,strip,4,None,Improved,Medium,,9500 NE CASCADES PKWY,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E61000003385EF7451A45EC0B1E90A7ED0C94640,213122,213122,2016-09-22 17:47:40+00,PY,6.9,Fair,cutout,4,None,Improved,Medium,,NE CASCADES PKWY,PDX,staff,,,Pyrus spp.,Rosaceae,Pyrus,pear,BD,M,no,
0101000020E61000009D12856244A45EC0892CB193B8C94640,213125,213125,2016-09-22 17:47:40+00,ACRU,8.6,Fair,strip,6.5,None,Improved,Large,,9500 NE CASCADES PKWY,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E6100000248CB85361A45EC031C8347ADEC94640,213127,213127,2016-09-22 17:47:40+00,ACPL,11.6,Fair,strip,12.5,None,Improved,Large,,9298 NE CASCADES PKWY,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E610000017E5410E63A45EC02587347CDFC94640,213128,213128,2016-09-22 17:47:40+00,ACPL,11.7,Fair,strip,12.5,None,Improved,Large,,9298 NE CASCADES PKWY,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E61000000EC642B97BA45EC0CD910A50E0C94640,213131,213131,2016-09-22 17:47:40+00,ACPL,15.5,Fair,strip,12.5,None,Improved,Large,,9298 NE CASCADES PKWY,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E610000084248F767DA45EC0CA64D2AFDFC94640,213132,213132,2016-09-22 17:47:40+00,ACPL,7.6,Fair,strip,12.5,None,Improved,Large,,9298 NE CASCADES PKWY,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E61000006E450C8A93A45EC0A58FE314C8C94640,213133,213133,2016-09-22 17:47:40+00,ACPL,11.3,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E61000005A0503A494A45EC082842AB6C5C94640,213134,213134,2016-09-22 17:47:40+00,ACPL,16.9,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E61000002A9EED048CA45EC086146616D4C94640,213136,213136,2016-09-22 17:47:40+00,ACPL,14.4,Fair,strip,12.5,None,Improved,Large,,9298 NE CASCADES PKWY,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000905A5A5AA9A45EC025E49DCC9EC94640,213137,213137,2016-09-22 17:47:40+00,ACPL,14.3,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000706A497BAFA45EC0A718F826A1C94640,213141,213141,2016-09-22 17:47:40+00,ACPL,13.1,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E610000020D36EE8ACA45EC09771E721A4C94640,213142,213142,2016-09-22 17:47:40+00,ACPL,12.4,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000F20AE1D6A8A45EC07C3E8C7FA9C94640,213143,213143,2016-09-22 17:47:40+00,ACPL,12.3,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000E7989B7BA7A45EC0F1EA1912A6C94640,213144,213144,2016-09-22 17:47:40+00,FR,9.5,Fair,median,13,None,Improved,Large,,,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E6100000044934CFA6A45EC0F21288FFA6C94640,213145,213145,2016-09-22 17:47:40+00,FR,8.1,Fair,median,12.5,None,Improved,Large,,,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000002349D98AA5A45EC0F72DE29CA8C94640,213146,213146,2016-09-22 17:47:40+00,FR,10.6,Fair,median,21,None,Improved,Large,,,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
